"STATISTIC","Statistic","TLIST(A1)","Year","C02076V02508","Age","C02447V03042","School Programme","UNIT","VALUE"
"EDA42","Primary Pupils","2000","2000","005","5 years","1","All first level school programmes","Number","50630"
"EDA42","Primary Pupils","2000","2000","005","5 years","11","All mainstream national school programmes","Number","49172"
"EDA42","Primary Pupils","2000","2000","005","5 years","110","All first level education institutions aided by the Department of Education and Skills","Number","50019"
"EDA42","Primary Pupils","2000","2000","005","5 years","111","Junior infants","Number","26695"
"EDA42","Primary Pupils","2000","2000","005","5 years","112","Senior infants","Number","22314"
"EDA42","Primary Pupils","2000","2000","005","5 years","113","1st class","Number","163"
"EDA42","Primary Pupils","2000","2000","005","5 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2000","2000","005","5 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2000","2000","005","5 years","116","4th class","Number",""
"EDA42","Primary Pupils","2000","2000","005","5 years","117","5th class","Number",""
"EDA42","Primary Pupils","2000","2000","005","5 years","118","6th class","Number",""
"EDA42","Primary Pupils","2000","2000","005","5 years","121","Pupils with special needs in mainstream national schools","Number","691"
"EDA42","Primary Pupils","2000","2000","005","5 years","122","Pupils in special national schools","Number","156"
"EDA42","Primary Pupils","2000","2000","005","5 years","130","Pupils in private primary schools","Number","611"
"EDA42","Primary Pupils","2000","2000","006","6 years","1","All first level school programmes","Number","52122"
"EDA42","Primary Pupils","2000","2000","006","6 years","11","All mainstream national school programmes","Number","50417"
"EDA42","Primary Pupils","2000","2000","006","6 years","110","All first level education institutions aided by the Department of Education and Skills","Number","51475"
"EDA42","Primary Pupils","2000","2000","006","6 years","111","Junior infants","Number","663"
"EDA42","Primary Pupils","2000","2000","006","6 years","112","Senior infants","Number","27757"
"EDA42","Primary Pupils","2000","2000","006","6 years","113","1st class","Number","21819"
"EDA42","Primary Pupils","2000","2000","006","6 years","114","2nd class","Number","178"
"EDA42","Primary Pupils","2000","2000","006","6 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2000","2000","006","6 years","116","4th class","Number",""
"EDA42","Primary Pupils","2000","2000","006","6 years","117","5th class","Number",""
"EDA42","Primary Pupils","2000","2000","006","6 years","118","6th class","Number",""
"EDA42","Primary Pupils","2000","2000","006","6 years","121","Pupils with special needs in mainstream national schools","Number","795"
"EDA42","Primary Pupils","2000","2000","006","6 years","122","Pupils in special national schools","Number","263"
"EDA42","Primary Pupils","2000","2000","006","6 years","130","Pupils in private primary schools","Number","647"
"EDA42","Primary Pupils","2000","2000","007","7 years","1","All first level school programmes","Number","53923"
"EDA42","Primary Pupils","2000","2000","007","7 years","11","All mainstream national school programmes","Number","51963"
"EDA42","Primary Pupils","2000","2000","007","7 years","110","All first level education institutions aided by the Department of Education and Skills","Number","53231"
"EDA42","Primary Pupils","2000","2000","007","7 years","111","Junior infants","Number","21"
"EDA42","Primary Pupils","2000","2000","007","7 years","112","Senior infants","Number","986"
"EDA42","Primary Pupils","2000","2000","007","7 years","113","1st class","Number","28418"
"EDA42","Primary Pupils","2000","2000","007","7 years","114","2nd class","Number","22378"
"EDA42","Primary Pupils","2000","2000","007","7 years","115","3rd class","Number","160"
"EDA42","Primary Pupils","2000","2000","007","7 years","116","4th class","Number",""
"EDA42","Primary Pupils","2000","2000","007","7 years","117","5th class","Number",""
"EDA42","Primary Pupils","2000","2000","007","7 years","118","6th class","Number",""
"EDA42","Primary Pupils","2000","2000","007","7 years","121","Pupils with special needs in mainstream national schools","Number","914"
"EDA42","Primary Pupils","2000","2000","007","7 years","122","Pupils in special national schools","Number","354"
"EDA42","Primary Pupils","2000","2000","007","7 years","130","Pupils in private primary schools","Number","692"
"EDA42","Primary Pupils","2000","2000","008","8 years","1","All first level school programmes","Number","55536"
"EDA42","Primary Pupils","2000","2000","008","8 years","11","All mainstream national school programmes","Number","53323"
"EDA42","Primary Pupils","2000","2000","008","8 years","110","All first level education institutions aided by the Department of Education and Skills","Number","54773"
"EDA42","Primary Pupils","2000","2000","008","8 years","111","Junior infants","Number","2"
"EDA42","Primary Pupils","2000","2000","008","8 years","112","Senior infants","Number","24"
"EDA42","Primary Pupils","2000","2000","008","8 years","113","1st class","Number","1199"
"EDA42","Primary Pupils","2000","2000","008","8 years","114","2nd class","Number","29763"
"EDA42","Primary Pupils","2000","2000","008","8 years","115","3rd class","Number","22117"
"EDA42","Primary Pupils","2000","2000","008","8 years","116","4th class","Number","217"
"EDA42","Primary Pupils","2000","2000","008","8 years","117","5th class","Number","1"
"EDA42","Primary Pupils","2000","2000","008","8 years","118","6th class","Number",""
"EDA42","Primary Pupils","2000","2000","008","8 years","121","Pupils with special needs in mainstream national schools","Number","1059"
"EDA42","Primary Pupils","2000","2000","008","8 years","122","Pupils in special national schools","Number","391"
"EDA42","Primary Pupils","2000","2000","008","8 years","130","Pupils in private primary schools","Number","763"
"EDA42","Primary Pupils","2000","2000","009","9 years","1","All first level school programmes","Number","57002"
"EDA42","Primary Pupils","2000","2000","009","9 years","11","All mainstream national school programmes","Number","54615"
"EDA42","Primary Pupils","2000","2000","009","9 years","110","All first level education institutions aided by the Department of Education and Skills","Number","56135"
"EDA42","Primary Pupils","2000","2000","009","9 years","111","Junior infants","Number","1"
"EDA42","Primary Pupils","2000","2000","009","9 years","112","Senior infants","Number","18"
"EDA42","Primary Pupils","2000","2000","009","9 years","113","1st class","Number","54"
"EDA42","Primary Pupils","2000","2000","009","9 years","114","2nd class","Number","1473"
"EDA42","Primary Pupils","2000","2000","009","9 years","115","3rd class","Number","30597"
"EDA42","Primary Pupils","2000","2000","009","9 years","116","4th class","Number","22218"
"EDA42","Primary Pupils","2000","2000","009","9 years","117","5th class","Number","254"
"EDA42","Primary Pupils","2000","2000","009","9 years","118","6th class","Number",""
"EDA42","Primary Pupils","2000","2000","009","9 years","121","Pupils with special needs in mainstream national schools","Number","1068"
"EDA42","Primary Pupils","2000","2000","009","9 years","122","Pupils in special national schools","Number","452"
"EDA42","Primary Pupils","2000","2000","009","9 years","130","Pupils in private primary schools","Number","867"
"EDA42","Primary Pupils","2000","2000","010","10 years","1","All first level school programmes","Number","55843"
"EDA42","Primary Pupils","2000","2000","010","10 years","11","All mainstream national school programmes","Number","53238"
"EDA42","Primary Pupils","2000","2000","010","10 years","110","All first level education institutions aided by the Department of Education and Skills","Number","54936"
"EDA42","Primary Pupils","2000","2000","010","10 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2000","2000","010","10 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2000","2000","010","10 years","113","1st class","Number","5"
"EDA42","Primary Pupils","2000","2000","010","10 years","114","2nd class","Number","51"
"EDA42","Primary Pupils","2000","2000","010","10 years","115","3rd class","Number","1573"
"EDA42","Primary Pupils","2000","2000","010","10 years","116","4th class","Number","29595"
"EDA42","Primary Pupils","2000","2000","010","10 years","117","5th class","Number","21643"
"EDA42","Primary Pupils","2000","2000","010","10 years","118","6th class","Number","371"
"EDA42","Primary Pupils","2000","2000","010","10 years","121","Pupils with special needs in mainstream national schools","Number","1160"
"EDA42","Primary Pupils","2000","2000","010","10 years","122","Pupils in special national schools","Number","538"
"EDA42","Primary Pupils","2000","2000","010","10 years","130","Pupils in private primary schools","Number","907"
"EDA42","Primary Pupils","2000","2000","011","11 years","1","All first level school programmes","Number","56768"
"EDA42","Primary Pupils","2000","2000","011","11 years","11","All mainstream national school programmes","Number","53996"
"EDA42","Primary Pupils","2000","2000","011","11 years","110","All first level education institutions aided by the Department of Education and Skills","Number","55801"
"EDA42","Primary Pupils","2000","2000","011","11 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2000","2000","011","11 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2000","2000","011","11 years","113","1st class","Number","1"
"EDA42","Primary Pupils","2000","2000","011","11 years","114","2nd class","Number","7"
"EDA42","Primary Pupils","2000","2000","011","11 years","115","3rd class","Number","53"
"EDA42","Primary Pupils","2000","2000","011","11 years","116","4th class","Number","1717"
"EDA42","Primary Pupils","2000","2000","011","11 years","117","5th class","Number","29955"
"EDA42","Primary Pupils","2000","2000","011","11 years","118","6th class","Number","22263"
"EDA42","Primary Pupils","2000","2000","011","11 years","121","Pupils with special needs in mainstream national schools","Number","1194"
"EDA42","Primary Pupils","2000","2000","011","11 years","122","Pupils in special national schools","Number","611"
"EDA42","Primary Pupils","2000","2000","011","11 years","130","Pupils in private primary schools","Number","967"
"EDA42","Primary Pupils","2000","2000","012","12 years","1","All first level school programmes","Number","36395"
"EDA42","Primary Pupils","2000","2000","012","12 years","11","All mainstream national school programmes","Number","34295"
"EDA42","Primary Pupils","2000","2000","012","12 years","110","All first level education institutions aided by the Department of Education and Skills","Number","35962"
"EDA42","Primary Pupils","2000","2000","012","12 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2000","2000","012","12 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2000","2000","012","12 years","113","1st class","Number",""
"EDA42","Primary Pupils","2000","2000","012","12 years","114","2nd class","Number","1"
"EDA42","Primary Pupils","2000","2000","012","12 years","115","3rd class","Number","3"
"EDA42","Primary Pupils","2000","2000","012","12 years","116","4th class","Number","75"
"EDA42","Primary Pupils","2000","2000","012","12 years","117","5th class","Number","2087"
"EDA42","Primary Pupils","2000","2000","012","12 years","118","6th class","Number","32129"
"EDA42","Primary Pupils","2000","2000","012","12 years","121","Pupils with special needs in mainstream national schools","Number","1034"
"EDA42","Primary Pupils","2000","2000","012","12 years","122","Pupils in special national schools","Number","633"
"EDA42","Primary Pupils","2000","2000","012","12 years","130","Pupils in private primary schools","Number","433"
"EDA42","Primary Pupils","2000","2000","013","13 years","1","All first level school programmes","Number","3688"
"EDA42","Primary Pupils","2000","2000","013","13 years","11","All mainstream national school programmes","Number","2565"
"EDA42","Primary Pupils","2000","2000","013","13 years","110","All first level education institutions aided by the Department of Education and Skills","Number","3648"
"EDA42","Primary Pupils","2000","2000","013","13 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2000","2000","013","13 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2000","2000","013","13 years","113","1st class","Number",""
"EDA42","Primary Pupils","2000","2000","013","13 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2000","2000","013","13 years","115","3rd class","Number","1"
"EDA42","Primary Pupils","2000","2000","013","13 years","116","4th class","Number","4"
"EDA42","Primary Pupils","2000","2000","013","13 years","117","5th class","Number","105"
"EDA42","Primary Pupils","2000","2000","013","13 years","118","6th class","Number","2455"
"EDA42","Primary Pupils","2000","2000","013","13 years","121","Pupils with special needs in mainstream national schools","Number","364"
"EDA42","Primary Pupils","2000","2000","013","13 years","122","Pupils in special national schools","Number","719"
"EDA42","Primary Pupils","2000","2000","013","13 years","130","Pupils in private primary schools","Number","40"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","1","All first level school programmes","Number","26038"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","11","All mainstream national school programmes","Number","24652"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","110","All first level education institutions aided by the Department of Education and Skills","Number","25135"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","111","Junior infants","Number","24564"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","112","Senior infants","Number","88"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","113","1st class","Number",""
"EDA42","Primary Pupils","2000","2000","237","4 years and under","114","2nd class","Number",""
"EDA42","Primary Pupils","2000","2000","237","4 years and under","115","3rd class","Number",""
"EDA42","Primary Pupils","2000","2000","237","4 years and under","116","4th class","Number",""
"EDA42","Primary Pupils","2000","2000","237","4 years and under","117","5th class","Number",""
"EDA42","Primary Pupils","2000","2000","237","4 years and under","118","6th class","Number",""
"EDA42","Primary Pupils","2000","2000","237","4 years and under","121","Pupils with special needs in mainstream national schools","Number","347"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","122","Pupils in special national schools","Number","136"
"EDA42","Primary Pupils","2000","2000","237","4 years and under","130","Pupils in private primary schools","Number","903"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","1","All first level school programmes","Number","3207"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","11","All mainstream national school programmes","Number","103"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","110","All first level education institutions aided by the Department of Education and Skills","Number","3195"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","111","Junior infants","Number",""
"EDA42","Primary Pupils","2000","2000","283","14 years and over","112","Senior infants","Number",""
"EDA42","Primary Pupils","2000","2000","283","14 years and over","113","1st class","Number",""
"EDA42","Primary Pupils","2000","2000","283","14 years and over","114","2nd class","Number",""
"EDA42","Primary Pupils","2000","2000","283","14 years and over","115","3rd class","Number","1"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","116","4th class","Number","2"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","117","5th class","Number","3"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","118","6th class","Number","97"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","121","Pupils with special needs in mainstream national schools","Number","117"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","122","Pupils in special national schools","Number","2975"
"EDA42","Primary Pupils","2000","2000","283","14 years and over","130","Pupils in private primary schools","Number","12"
"EDA42","Primary Pupils","2000","2000","-","All ages","1","All first level school programmes","Number","451152"
"EDA42","Primary Pupils","2000","2000","-","All ages","11","All mainstream national school programmes","Number","428339"
"EDA42","Primary Pupils","2000","2000","-","All ages","110","All first level education institutions aided by the Department of Education and Skills","Number","444310"
"EDA42","Primary Pupils","2000","2000","-","All ages","111","Junior infants","Number","51946"
"EDA42","Primary Pupils","2000","2000","-","All ages","112","Senior infants","Number","51187"
"EDA42","Primary Pupils","2000","2000","-","All ages","113","1st class","Number","51659"
"EDA42","Primary Pupils","2000","2000","-","All ages","114","2nd class","Number","53851"
"EDA42","Primary Pupils","2000","2000","-","All ages","115","3rd class","Number","54505"
"EDA42","Primary Pupils","2000","2000","-","All ages","116","4th class","Number","53828"
"EDA42","Primary Pupils","2000","2000","-","All ages","117","5th class","Number","54048"
"EDA42","Primary Pupils","2000","2000","-","All ages","118","6th class","Number","57315"
"EDA42","Primary Pupils","2000","2000","-","All ages","121","Pupils with special needs in mainstream national schools","Number","8743"
"EDA42","Primary Pupils","2000","2000","-","All ages","122","Pupils in special national schools","Number","7228"
"EDA42","Primary Pupils","2000","2000","-","All ages","130","Pupils in private primary schools","Number","6842"
"EDA42","Primary Pupils","2001","2001","005","5 years","1","All first level school programmes","Number","51420"
"EDA42","Primary Pupils","2001","2001","005","5 years","11","All mainstream national school programmes","Number","49995"
"EDA42","Primary Pupils","2001","2001","005","5 years","110","All first level education institutions aided by the Department of Education and Skills","Number","50923"
"EDA42","Primary Pupils","2001","2001","005","5 years","111","Junior infants","Number","27341"
